AUK,20090212,0.02,0.02,0.02,0.02,50000
AUN,20090212,0.775,0.825,0.775,0.825,1310303
AUW,20090212,0.8,0.84,0.8,0.81,3735416
AVA,20090212,0.08,0.08,0.08,0.08,597159
AVE,20090212,0.9,0.9,0.9,0.9,29285
AVG,20090212,0.34,0.345,0.31,0.335,17447
AVH,20090212,0.1,0.1,0.1,0.1,15000
AVJ,20090212,0.295,0.32,0.295,0.32,26200
AVM,20090212,1.91,1.91,1.85,1.86,10700
AVO,20090212,1.815,1.89,1.8,1.83,1067079
AVS,20090212,0.015,0.015,0.013,0.013,205000
AVX,20090212,0.071,0.079,0.071,0.077,328484
AWB,20090212,1.485,1.55,1.36,1.37,2371891
AWC,20090212,1.22,1.28,1.2,1.265,8045581
AWE,20090212,2.52,2.56,2.48,2.52,651287
AXA,20090212,4.1,4.2,4.03,4.14,1892556
AXE,20090212,0.055,0.055,0.055,0.055,55000
AXI,20090212,0.04,0.04,0.04,0.04,75710
AXM,20090212,0.28,0.3,0.28,0.285,1488889
AXO,20090212,0.125,0.125,0.125,0.125,40000
AXY,20090212,0.035,0.035,0.035,0.035,30000
AYT,20090212,1.18,1.18,1.14,1.18,103000
AZC,20090212,0.035,0.035,0.034,0.034,317901
AZD,20090212,0.006,0.006,0.004,0.005,3266645
AZM,20090212,0.068,0.068,0.066,0.066,22000
AZS,20090212,0.05,0.053,0.05,0.053,81000
AZZ,20090212,0.055,0.055,0.051,0.051,25000
BAR,20090212,0.056,0.056,0.055,0.055,29525
BAU,20090212,0.24,0.245,0.24,0.245,69046
BBG,20090212,7.08,7.4,7.06,7.35,1990512
BBI,20090212,0.079,0.082,0.075,0.075,7657884
BBP,20090212,0.06,0.063,0.058,0.058,2577591
BBW,20090212,0.855,0.915,0.855,0.905,446645
BCC,20090212,0.04,0.04,0.036,0.036,68907
BCD,20090212,0.135,0.16,0.135,0.155,2225935
BCI,20090212,0.39,0.39,0.37,0.38,22500
BCM,20090212,1.18,1.32,1.16,1.285,7213285
BCN,20090212,0.015,0.015,0.015,0.015,250000
BDG,20090212,0.185,0.19,0.18,0.185,1867822
BDL,20090212,0.04,0.04,0.04,0.04,95000
BEC,20090212,0.09,0.1,0.087,0.09,720206
BEN,20090212,9.31,9.54,9.15,9.3,586447
BFE,20090212,0.032,0.032,0.032,0.032,70000
BFG,20090212,0.39,0.4,0.39,0.395,160000
BGD,20090212,0.037,0.042,0.037,0.042,4655000
BHP,20090212,32.57,33.35,32.4,32.47,15484845
BIS,20090212,0.21,0.21,0.205,0.205,27800
BIT,20090212,0.12,0.12,0.12,0.12,200000
BJT,20090212,0.24,0.295,0.24,0.265,4548227
BKI,20090212,0.94,0.95,0.925,0.93,132600
BKL,20090212,12.44,12.44,12.1,12.39,1485
BKN,20090212,1.865,1.92,1.485,1.54,5380017
BKW,20090212,10.25,10.45,10.15,10.45,4486
BKY,20090212,0.36,0.41,0.36,0.4,788166
BLD,20090212,3.06,3.07,3,3.06,5485444
BLG,20090212,0.235,0.235,0.23,0.235,40050
BLR,20090212,0.036,0.036,0.033,0.033,780000
BLU,20090212,0.02,0.02,0.02,0.02,100000
BLY,20090212,0.165,0.17,0.155,0.16,16916555
BML,20090212,0.027,0.029,0.027,0.029,328410
BMN,20090212,0.79,0.85,0.68,0.68,781863
BMY,20090212,0.04,0.04,0.04,0.04,200000
