Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:IHHY,"iShares Global High Yield Bond (AUD Hedged) ETF (ASX:IHHY)",https://www.listcorp.com/asx/ihhy/ishares-global-high-yield-bond-aud-hedged-etf,"	164831000",92.52,-0.13,-0.14,Unclassified
ASX:SXL,"Southern Cross Media Group Limited (ASX:SXL)",https://www.listcorp.com/asx/sxl/southern-cross-media-group-limited,"	164331000",0.64,-0.05,-6.57,"Communication Services"
ASX:ISO,"iShares S&P/ASX Small Ordinaries ETF (ASX:ISO)",https://www.listcorp.com/asx/iso/ishares-s-and-p-asx-small-ordinaries-etf,"	164224000",4.42,-0.18,-3.91,Unclassified
ASX:DLI,"Delta Lithium Limited (ASX:DLI)",https://www.listcorp.com/asx/dli/delta-lithium-limited,"	164084000",0.23,0.00,0,Materials
ASX:PCX,"Pengana Global Private Credit Trust (ASX:PCX)",https://www.listcorp.com/asx/pcx/pengana-global-private-credit-trust,"	163780000",2.06,-0.03,-1.44,Unclassified
ASX:CYC,"Cyclopharm Limited (ASX:CYC)",https://www.listcorp.com/asx/cyc/cyclopharm-limited,"	163371000",1.455,-0.01,-1.02,"Health Care"
ASX:EMV,"Emvision Medical Devices Limited (ASX:EMV)",https://www.listcorp.com/asx/emv/emvision-medical-devices-limited,"	163162000",1.855,-0.06,-2.88,"Health Care"
ASX:ALA,"Arovella Therapeutics Limited (ASX:ALA)",https://www.listcorp.com/asx/ala/arovella-therapeutics-limited,"	163025000",0.1425,-0.01,-8.06,"Health Care"
ASX:FUEL,"BetaShares Global Energy Companies ETF - Currency Hedged (ASX:FUEL)",https://www.listcorp.com/asx/fuel/betashares-global-energy-companies-etf-currency-hedged,"	162622000",6.37,-0.16,-2.45,Unclassified
ASX:EGH,"Eureka Group Holdings Limited (ASX:EGH)",https://www.listcorp.com/asx/egh/eureka-group-holdings-limited,"	162565000",0.52,-0.01,-2.8,"Real Estate"
ASX:IRI,"Integrated Research Limited (ASX:IRI)",https://www.listcorp.com/asx/iri/integrated-research-limited,"	162386000",0.835,-0.10,-10.22,"Information Technology"
ASX:TER,"TerraCom Limited (ASX:TER)",https://www.listcorp.com/asx/ter/terracom-limited,"	160193000",0.18,-0.02,-10,Energy
ASX:FWD,"Fleetwood Limited (ASX:FWD)",https://www.listcorp.com/asx/fwd/fleetwood-limited,"	160034000",1.69,-0.01,-0.59,"Consumer Discretionary"
ASX:TRJ,"Trajan Group Holdings Limited (ASX:TRJ)",https://www.listcorp.com/asx/trj/trajan-group-holdings-limited,"	158305000",1.04,0.00,0,"Health Care"
ASX:TLG,"Talga Group Ltd (ASX:TLG)",https://www.listcorp.com/asx/tlg/talga-group,"	157736000",0.395,-0.02,-4.82,Materials
ASX:SSG,"Shaver Shop Group Limited (ASX:SSG)",https://www.listcorp.com/asx/ssg/shaver-shop-group-limited,"	157215000",1.19,-0.01,-0.83,"Consumer Discretionary"
ASX:WDMF,"iShares Edge MSCI World Multifactor ETF (ASX:WDMF)",https://www.listcorp.com/asx/wdmf/ishares-edge-msci-world-multifactor-etf,"	157118000",41.66,-1.09,-2.55,Unclassified
ASX:CAA,"Capral Limited (ASX:CAA)",https://www.listcorp.com/asx/caa/capral-limited,"	156987000",8.6,-0.45,-4.97,Materials
ASX:CLG,"Close the Loop Limited (ASX:CLG)",https://www.listcorp.com/asx/clg/close-the-loop-limited,"	156896000",0.28,-0.01,-5.08,Industrials
ASX:DGL,"DGL Group Limited (ASX:DGL)",https://www.listcorp.com/asx/dgl/dgl-group-limited,"	156836000",0.5225,-0.03,-5,Materials
ASX:UTIP,"Betashares Inflation-Protected U.S. Treasury Bond Currency Hedged ETF (ASX:UTIP)",https://www.listcorp.com/asx/utip/betashares-inflation-protected-u.s.-treasury-bond-currency-hedged-etf,"	156682000",25.91,0.14,0.54,Unclassified
ASX:EBND,"VanEck Emerging Income Opportunities Active ETF (Managed Fund) (ASX:EBND)",https://www.listcorp.com/asx/ebnd/vaneck-emerging-income-opportunities-active-etf-managed-fund,"	156583000",10.32,0.02,0.19,Unclassified
ASX:NDIA,"Global X India Nifty 50 ETF (ASX:NDIA)",https://www.listcorp.com/asx/ndia/global-x-india-nifty-50-etf,"	156564000",77.2,-1.69,-2.14,Unclassified
ASX:RHK,"Red Hawk Mining Limited (ASX:RHK)",https://www.listcorp.com/asx/rhk/red-hawk-mining-limited,"	155853000",0.78,0.00,0,Materials
ASX:BC8,"Black Cat Syndicate Limited (ASX:BC8)",https://www.listcorp.com/asx/bc8/black-cat-syndicate-limited,"	154970000",0.335,-0.02,-4.29,Materials
ASX:AKM,"Aspire Mining Limited (ASX:AKM)",https://www.listcorp.com/asx/akm/aspire-mining-limited,"	154829000",0.265,-0.04,-13.11,Materials
ASX:AGE,"Alligator Energy Limited (ASX:AGE)",https://www.listcorp.com/asx/age/alligator-energy,"	154792000",0.036,-0.00,-10,Energy
ASX:OZR,"SPDR S&P/ASX 200 Resources Fund (ASX:OZR)",https://www.listcorp.com/asx/ozr/spdr-s-and-p-asx-200-resources-fund,"	154601000",11.95,-0.26,-2.13,Unclassified
ASX:PCL,"Pancontinental Energy NL (ASX:PCL)",https://www.listcorp.com/asx/pcl/pancontinental-energy-nl,"	154500000",0.017,-0.00,-10.53,Energy
ASX:BBUS,"BetaShares U.S. Equities Strong Bear Hedge Fund - Currency Hedged (ASX:BBUS)",https://www.listcorp.com/asx/bbus/betashares-u.s.-equities-strong-bear-hedge-fund-currency-hedged,"	154448000",5.65,0.32,6,Unclassified
ASX:EMMG,"BetaShares Martin Currie Emerging Markets Fund (managed fund) (ASX:EMMG)",https://www.listcorp.com/asx/emmg/betashares-martin-currie-emerging-markets-fund-managed-fund,"	152978000",5.87,-0.28,-4.55,Unclassified
ASX:VCF,"Vanguard International Credit Securities Index (Hedged) ETF (ASX:VCF)",https://www.listcorp.com/asx/vcf/vanguard-international-credit-securities-index-hedged-etf,"	151775000",39,0.23,0.59,Unclassified
