ASX Listed Companies (1 May 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
CAD,Caeneus Minerals Ltd,Materials,"3,498,650",0,,,
CAE,Cannindah Resources Ltd,Materials,"1,932,730",0,,,
CAF,Centrepoint Alliance Ltd,Financials,"12,696,900",0.001,,,
CAG,Cape Range Ltd,Information Technology,"46,012,100",0.002,,,
CAI,Calidus Resources Ltd,Materials,"68,700,500",0.004,,,
CAJ,Capitol Health Ltd,Health Care,"192,020,000",0.01,,,
CAM,Clime Capital Ltd,,"86,131,900",0.004,,,
CAN,Cann Group Ltd,Health Care,"131,875,000",0.007,,,
CAP,Carpentaria Resources Ltd,Materials,"6,328,050",0,,,
CAQ,CAQ Holdings Ltd,Real Estate,"5,742,290",0,,,
CAR,Carsales.com Ltd,Communication Services,"3,484,940,000",0.181,,,
CAT,Catapult Group International Ltd,Information Technology,"231,938,000",0.012,,,
CAU,Cronos Australia Ltd,Health Care,"5,348,750",0,,,
CAV,Carnavale Resources Ltd,Materials,"2,990,810",0,,,
CAY,Canyon Resources Ltd,Materials,"48,918,700",0.003,,,
CAZ,Cazaly Resources Ltd,Materials,"7,614,490",0,,,
CBA,Commonwealth Bank of Australia,Financials,"110,976,000,000",5.767,,,
CBE,Cobre Ltd,Materials,"11,004,800",0.001,,,
CBR,Carbon Revolution Ltd,Consumer Discretionary,"199,556,000",0.01,,,
CBY,Canterbury Resources Ltd,Materials,"5,077,840",0,,,
CCA,Change Financial Ltd,Information Technology,"5,964,930",0,,,
CCE,Carnegie Clean Energy Ltd,Utilities,"11,141,500",0.001,,,
CCG,Commschoice Group Ltd,Information Technology,"13,397,500",0.001,,,
CCJ,County International Ltd,Energy,"957,400",0,,,
CCL,Coca-Cola Amatil Ltd,Consumer Staples,"6,284,320,000",0.327,,,
CCP,Credit Corp Group Ltd,Financials,"908,895,000",0.047,,,
CCV,Cash Converters International,Financials,"95,547,900",0.005,,,
CCX,City Chic Collective Ltd,Consumer Discretionary,"457,522,000",0.024,,,
CCZ,Castillo Copper Ltd,Materials,"15,678,500",0.001,,,
CD1,Cordish Dixon Private Equity Fund I,,"28,089,900",0.001,,,
CD2,Cordish Dixon Private Equity Fund Ii,,"49,671,000",0.003,,,
CD3,Cordish Dixon Private Equity Fund Iii,,"66,986,400",0.003,,,
CDA,Codan Ltd,Information Technology,"1,177,150,000",0.061,,,
CDD,Cardno Ltd,Industrials,"111,754,000",0.006,,,
CDH,Chongherr Investments Ltd,Materials,"260,415",0,,,
CDM,Cadence Capital Ltd,,"169,957,000",0.009,,,
CDP,Carindale Property Trust,Real Estate,"224,000,000",0.012,,,
CDT,Castle Minerals Ltd,Materials,"1,660,620",0,,,
CDV,Cardinal Resources Ltd,Materials,"187,509,000",0.01,,,
CDX,Cardiex Ltd,Health Care,"17,323,800",0.001,,,
CDY,Cellmid Ltd,Health Care,"25,654,700",0.001,,,
CE1,Calima Energy Ltd,Energy,"12,933,400",0.001,,,
CEL,Challenger Exploration Ltd,Energy,"60,902,000",0.003,,,
CEN,Contact Energy Ltd,Utilities,"1,092,330,000",0.057,,,
CETF,Vaneck Vectors Ftse China A50 ETF,,"23,532,200",0.001,,,
CFE,Cape Lambert Resources Ltd,Materials,"2,512,610",0,,,
CFO,Cfoam Ltd,Industrials,"8,840,000",0,,,
CG1,Carbonxt Group Ltd,Materials,"26,743,300",0.001,,,
CGA,Contango Asset Management Ltd,Financials,"12,292,500",0.001,,,
CGB,Cann Global Ltd,Health Care,"16,745,200",0.001,,,
CGC,Costa Group Holdings Ltd,Consumer Staples,"1,158,400,000",0.06,,,
CGF,Challenger Ltd,Financials,"3,037,010,000",0.158,,,
CGL,The Citadel Group Ltd,Information Technology,"273,101,000",0.014,,,
CGM,Cougar Metals NL,Materials,"1,176,580",0,,,
CGN,Crater Gold Mining Ltd,Materials,"11,047,500",0.001,,,
CGO,CPT Global Ltd,Information Technology,"3,446,020",0,,,
CGR,CML Group Ltd,Financials,"109,874,000",0.006,,,
CGS,Cogstate Ltd,Health Care,"59,515,800",0.003,,,
CHC,Charter Hall Group,Real Estate,"3,563,200,000",0.185,,,
CHK,Cohiba Minerals Ltd,Materials,"3,323,070",0,,,
CHN,Chalice Gold Mines Ltd,Materials,"308,327,000",0.016,,,
CHZ,Chesser Resources Ltd,Materials,"20,623,400",0.001,,,
CI1,Credit Intelligence Ltd,Industrials,"35,333,300",0.002,,,
CIA,Champion Iron Ltd,Materials,"941,977,000",0.049,,,
CIE,Contango Income Generator Ltd,,"56,498,300",0.003,,,
CII,Ci Resources Ltd,Materials,"87,841,600",0.005,,,
CIM,Cimic Group Ltd,Industrials,"7,860,360,000",0.408,,,
CIN,Carlton Investments Ltd,,"555,968,000",0.029,,,
CINPA,Carlton Investments Ltd,Financials,"170,935",0,,,
CIO,Connected Io Ltd,Information Technology,"4,815,140",0,,,
CIP,Centuria Industrial REIT,Real Estate,"1,052,300,000",0.055,,,
CIW,Clime Investment Management Ltd,Financials,"22,649,600",0.001,,,
CKA,Cokal Ltd,Materials,"39,705,400",0.002,,,
CKF,Collins Foods Ltd,Consumer Discretionary,"858,038,000",0.045,,,
CL1,Class Ltd,Information Technology,"171,862,000",0.009,,,
CL8,Collaborate Corporation Ltd,Consumer Discretionary,"11,517,500",0.001,,,
CLA,Celsius Resources Ltd,Materials,"6,814,960",0,,,
CLB,Candy Club Holdings Ltd,Consumer Staples,"10,489,200",0.001,,,
CLF,Concentrated Leaders Fund Ltd,,"60,292,500",0.003,,,
CLH,Collection House Ltd,Financials,"154,014,000",0.008,,,
CLI,Croplogic Ltd,Industrials,"25,120,200",0.001,,,
CLQ,Clean TEQ Holdings Ltd,Industrials,"156,757,000",0.008,,,
CLT,Cellnet Group Ltd,Information Technology,"6,885,460",0,,,
CLV,Clover Corporation Ltd,Materials,"349,251,000",0.018,,,
CLW,Charter Hall Long Wale REIT,Real Estate,"2,185,930,000",0.114,,,
CLX,Cti Logistics Ltd,Industrials,"46,238,900",0.002,,,
CLZ,Classic Minerals Ltd,Materials,"7,375,350",0,,,
CM1,Coolgardie Minerals Ltd,Materials,"4,405,390",0,,,
CM8,Crowd Media Holdings Ltd,Communication Services,"6,980,590",0,,,
CMC,China Magnesium Corporation Ltd,Materials,"5,563,490",0,,,
CMD,Cassius Mining Ltd,Materials,"2,297,970",0,,,
CML,Chase Mining Corporation Ltd,Materials,"2,483,540",0,,,
CMM,Capricorn Metals Ltd,Materials,"445,938,000",0.023,,,
CMP,Compumedics Ltd,Health Care,"91,238,900",0.005,,,
CMW,Cromwell Property Group,Real Estate,"2,051,100,000",0.107,,,
CNB,Carnaby Resources Ltd,Materials,"6,910,800",0,,,
CNEW,Vaneck Vectors China New Economy ETF,,"66,648,400",0.003,,,
CNI,Centuria Capital Group,Financials,"777,674,000",0.04,,,
CNJ,Conico Ltd,Materials,"1,921,990",0,,,
CNL,Celamin Holdings Ltd,Materials,"13,382,400",0.001,,,
CNU,Chorus Ltd,,"2,942,530,000",0.153,,,
CNW,Cirrus Networks Holdings Ltd,Information Technology,"21,201,200",0.001,,,
COB,Cobalt Blue Holdings Ltd,Materials,"22,391,800",0.001,,,
COE,Cooper Energy Ltd,Energy,"699,458,000",0.036,,,
COF,Centuria Office REIT,Real Estate,"998,174,000",0.052,,,
COG,Consolidated Operations Group Ltd,Financials,"67,584,700",0.004,,,
COH,Cochlear Ltd,Health Care,"11,829,400,000",0.615,,,
COI,Comet Ridge Ltd,Energy,"67,065,000",0.003,,,
COL,Coles Group Ltd,Consumer Staples,"20,689,300,000",1.075,,,
COO,Corum Group Ltd,Information Technology,"18,518,100",0.001,,,
CORE,ETFs Global Core Infrastructure ETF,,"19,385,700",0.001,,,
COS,Cosol Ltd,Information Technology,"44,625,000",0.002,,,
COY,Coppermoly Ltd,Materials,"19,144,900",0.001,,,
CP1,Cannpal Animal Therapeutics Ltd,Health Care,"9,778,120",0.001,,,
CPH,Creso Pharma Ltd,Health Care,"15,274,300",0.001,,,
CPT,Cipherpoint Ltd,Information Technology,"445,176",0,,,
CPU,Computershare Ltd,Information Technology,"6,587,910,000",0.342,,,
CPV,Clearvue Technologies Ltd,Industrials,"9,015,760",0,,,
CQE,Charter Hall Social Infrastructure REIT,Real Estate,"740,279,000",0.038,,,
CQR,Charter Hall Retail REIT,Real Estate,"1,477,410,000",0.077,,,
CR1,Constellation Resources Ltd,Materials,"9,100,030",0,,,
CRB,Carbine Resources Ltd,Materials,"8,389,360",0,,,
CRED,Betashares Australian Investment Grade Corporate Bond ETF,,"339,180,000",0.018,,,
CRL,Comet Resources Ltd,Materials,"3,825,000",0,,,
CRM,Carbon Minerals Ltd,Energy,"6,581,220",0,,,
CRN,Coronado Global Resources Inc,Materials,"1,150,160,000",0.06,,,
CRO,Cirralto Ltd,Information Technology,"2,470,080",0,,,
CRS,Caprice Resources Ltd,Materials,"3,622,590",0,,,
CSD,Consolidated Tin Mines Ltd,Materials,"82,476,000",0.004,,,
CSE,Copper Strike Ltd,Materials,"2,671,120",0,,,
CSL,CSL Ltd,Health Care,"140,501,000,000",7.302,,,
CSR,CSR Ltd,Materials,"1,810,480,000",0.094,,,
CSS,Clean Seas Seafood Ltd,Consumer Staples,"65,985,100",0.003,,,
CST,Castile Resources Ltd,Materials,"32,952,200",0.002,,,
CT1,CCP Technologies Ltd,Information Technology,"22,750,300",0.001,,,
CTD,Corporate Travel Management Ltd,Consumer Discretionary,"1,384,310,000",0.072,,,
CTE,Cryosite Ltd,Health Care,"3,748,760",0,,,
CTM,Centaurus Metals Ltd,Materials,"51,950,000",0.003,,,
CTO,Citigold Corporation Ltd,Materials,"9,684,690",0.001,,,
CTP,Central Petroleum Ltd,Energy,"54,229,300",0.003,,,
CTX,Caltex Australia Ltd,Energy,"6,222,700,000",0.323,,,
CUE,CUE Energy Resources Ltd,Energy,"55,151,500",0.003,,,
CUL,Cullen Resources Ltd,Materials,"2,024,440",0,,,
CUP,Countplus Ltd,Industrials,"100,516,000",0.005,,,
CURE,ETFs S&P Biotech ETF,,"8,840,260",0,,,
CUV,Clinuvel Pharmaceuticals Ltd,Health Care,"1,088,510,000",0.057,,,
CUX,Crossland Strategic Metals Ltd,Materials,"5,058,230",0,,,
CV1,CV Check Ltd,Information Technology,"28,635,400",0.001,,,
CVC,CVC Ltd,Financials,"134,961,000",0.007,,,
CVF,Contrarian Value Fund Ltd,,"51,237,100",0.003,,,
CVL,Civmec Ltd,Industrials,"47,659,800",0.002,,,
CVN,Carnarvon Petroleum Ltd,Energy,"297,232,000",0.015,,,
CVS,Cervantes Corporation Ltd,Materials,"2,144,030",0,,,
CVV,Caravel Minerals Ltd,Materials,"4,337,800",0,,,
CVW,Clearview Wealth Ltd,Financials,"138,599,000",0.007,,,
CWL,Chant West Holdings Ltd,Information Technology,"9,512,080",0,,,
CWN,Crown Resorts Ltd,Consumer Discretionary,"6,697,100,000",0.348,,,
CWP,Cedar Woods Properties Ltd,Real Estate,"341,903,000",0.018,,,
CWX,Carawine Resources Ltd,Materials,"16,612,800",0.001,,,
CWY,Cleanaway Waste Management Ltd,Industrials,"3,840,880,000",0.2,,,
CWZ,Cashwerkz Ltd,Financials,"22,383,400",0.001,,,
CXL,CALIX Ltd,Materials,"84,927,000",0.004,,,
CXM,Centrex Metals Ltd,Materials,"9,470,560",0,,,
CXO,Core Lithium Ltd,Materials,"31,701,000",0.002,,,
CXU,Cauldron Energy Ltd,Energy,"7,902,090",0,,,
CXX,Cradle Resources Ltd,Materials,"6,638,860",0,,,
CXZ,Connexion Telematics Ltd,Information Technology,"15,537,000",0.001,,,
CY5,CYGNUS Gold Ltd,Materials,"2,457,040",0,,,
CYC,Cyclopharm Ltd,Health Care,"103,275,000",0.005,,,
CYG,Coventry Group Ltd,Industrials,"46,251,600",0.002,,,
CYL,Catalyst Metals Ltd,Materials,"224,951,000",0.012,,,
CYM,Cyprium Metals Ltd,Materials,"8,212,610",0,,,
CYP,Cynata Therapeutics Ltd,Health Care,"68,789,700",0.004,,,
CYQ,CYCLIQ Group Ltd,Consumer Discretionary,"1,858,340",0,,,
CZI,Cassini Resources Ltd,Materials,"41,064,700",0.002,,,
CZL,Consolidated ZINC Ltd,Materials,"6,903,730",0,,,
CZN,Corazon Mining Ltd,Materials,"7,229,690",0,,,
CZR,Coziron Resources Ltd,Materials,"23,863,500",0.001,,,
D13,Delaware Thirteen Ltd,Industrials,"22,286,900",0.001,,,
D2O,Duxton Water Ltd,,"159,366,000",0.008,,,
DAF,Discovery Africa Ltd,Materials,"3,644,690",0,,,
DAU,Dampier Gold Ltd,Materials,"5,949,650",0,,,
DAV,Davenport Resources Ltd,Materials,"6,900,400",0,,,
DBBF,Betashares Diversified Balanced ETF,,"2,317,140",0,,,
DBF,Duxton Broadacre Farms Ltd,Consumer Staples,"44,215,700",0.002,,,
DCC,Digitalx Ltd,Information Technology,"18,774,500",0.001,,,
DCG,Decmil Group Ltd,Industrials,"53,834,400",0.003,,,
DCL,Domacom Ltd,Financials,"10,047,800",0.001,,,
DCN,Dacian Gold Ltd,Materials,"166,769,000",0.009,,,
DCX,Discovex Resources Ltd,Materials,"2,892,850",0,,,
DDD,3D Resources Ltd,Materials,"1,407,220",0,,,
DDR,Dicker Data Ltd,Information Technology,"1,140,480,000",0.059,,,
DDT,Datadot Technology Ltd,Consumer Discretionary,"3,213,270",0,,,
DEG,De Grey Mining Ltd,Materials,"376,307,000",0.02,,,
DEM,De.Mem Ltd,Utilities,"28,933,000",0.002,,,
DEV,DEVEX Resources Ltd,Energy,"16,942,300",0.001,,,
DFM,Dongfang Modern Agriculture Holding Group Ltd,Consumer Staples,"348,896,000",0.018,,,
DGGF,Betashares Diversified Growth ETF,,"2,267,140",0,,,
DGH,Desane Group Holdings Ltd,Real Estate,"45,410,100",0.002,,,
DGO,DGO Gold Ltd,Materials,"92,934,000",0.005,,,
DGR,DGR Global Ltd,Materials,"39,856,800",0.002,,,
DHG,Domain Holdings Australia Ltd,Communication Services,"1,530,770,000",0.08,,,
DHHF,Betashares Diversified High Growth ETF,,"3,319,630",0,,,
DHR,Dark Horse Resources Ltd,Materials,"4,968,790",0,,,
DIV,Ubs IQ Morningstar Australia Dividend Yield ETF,,"15,726,100",0.001,,,
DJRE,SPDR Dow Jones Global Real Estate Fund,,"298,963,000",0.016,,,
DJW,Djerriwarrh Investments Ltd,,"571,845,000",0.03,,,
DKM,Duketon Mining Ltd,Materials,"16,552,800",0.001,,,
DLC,Delecta Ltd,Consumer Discretionary,"3,479,980",0,,,
DME,Dome Gold Mines Ltd,Materials,"55,382,900",0.003,,,
DMG,Dragon Mountain Gold Ltd,Materials,"5,270,610",0,,,
DMKT,AMP Capital Dynamic Markets Fund (Hedge Fund),,"7,626,230",0,,,
DMP,Domino's PIZZA Enterprises Ltd,Consumer Discretionary,"5,006,130,000",0.26,,,
DNA,Donaco International Ltd,Consumer Discretionary,"28,825,700",0.001,,,
DNK,Danakali Ltd,Materials,"117,934,000",0.006,,,
DOR,Doriemus Plc,Energy,"1,739,490",0,,,
DOW,Downer Edi Ltd,Industrials,"2,479,910,000",0.129,,,
DRE,Dreadnought Resources Ltd,Materials,"10,600,100",0.001,,,
DRO,Droneshield Ltd,Industrials,"27,770,800",0.001,,,
DRUG,Betashares Global Healthcare ETF - Currency Hedged,,"38,415,300",0.002,,,
DRX,Diatreme Resources Ltd,Materials,"14,843,600",0.001,,,
DSE,Dropsuite Ltd,Information Technology,"23,604,300",0.001,,,
DTC,Damstra Holdings Ltd,Information Technology,"131,114,000",0.007,,,
DTI,DTI Group Ltd,Information Technology,"8,709,390",0,,,
DTL,Data#3 Ltd,Information Technology,"600,502,000",0.031,,,
DTM,Dart Mining NL,Materials,"3,726,390",0,,,
DTR,Dateline Resources Ltd,Materials,"16,420,200",0.001,,,
DTS,Dragontail Systems Ltd,Information Technology,"32,354,800",0.002,,,
DTZ,DOTZ Nano Ltd,Information Technology,"12,425,800",0.001,,,
DUB,Dubber Corporation Ltd,Information Technology,"188,173,000",0.01,,,
DUI,Diversified United Investment Ltd,,"894,189,000",0.046,,,
DVL,Dorsavi Ltd,Health Care,"5,785,690",0,,,
DVN,Devine Ltd,Real Estate,"14,285,800",0.001,,,
DW8,Digital Wine Ventures Ltd,Consumer Discretionary,"5,790,370",0,,,
DWS,DWS Ltd,Information Technology,"92,941,100",0.005,,,
DXB,Dimerix Ltd,Health Care,"36,305,300",0.002,,,
DXN,DXN Ltd,Information Technology,"4,555,230",0,,,
DXS,Dexus,Real Estate,"9,995,410,000",0.519,,,
DYL,Deep Yellow Ltd,Energy,"59,997,100",0.003,,,
DZZF,Betashares Diversified Conservative Income ETF,,"3,454,660",0,,,
E25,Element 25 Ltd,Materials,"16,105,600",0.001,,,
E2E,Eon NRG Ltd,Energy,"769,889",0,,,
E2M,E2 Metals Ltd,Materials,"7,349,580",0,,,
EAF,Evans & Partners Asia Fund,,"148,174,000",0.008,,,
EAI,Ellerston Asian Investments Ltd,,"127,825,000",0.007,,,
EAS,Easton Investments Ltd,Financials,"27,567,600",0.001,,,
EAX,Energy Action Ltd,Industrials,"2,491,600",0,,,
EBG,Eumundi Group Ltd,Consumer Discretionary,"36,142,700",0.002,,,
EBND,Vaneck Emerging Inc Opportunities Active ETF (Managed Fund),,"10,624,200",0.001,,,
EBO,Ebos Group Ltd,Health Care,"3,382,420,000",0.176,,,
ECF,Elanor Commercial Property Fund,Real Estate,"187,026,000",0.01,,,
ECG,Ecargo Holdings Ltd,Industrials,"15,381,200",0.001,,,
ECL,Excelsior Capital Ltd,Industrials,"34,503,400",0.002,,,
ECP,ECP Emerging Growth Ltd,,"17,219,000",0.001,,,
ECS,ECS Botanics Holdings Ltd,Health Care,"6,092,640",0,,,
ECT,Environmental Clean Technologies Ltd,Industrials,"8,800,210",0,,,
ECX,Eclipx Group Ltd,Financials,"231,737,000",0.012,,,
ED1,Evans Dixon Ltd,Financials,"140,780,000",0.007,,,
EDC,Eildon Capital Fund,Financials,"42,754,400",0.002,,,
EDE,Eden Innovations Ltd,Energy,"63,773,100",0.003,,,
EEG,Empire Energy Group Ltd,Energy,"67,138,600",0.003,,,
EER,East Energy Resources Ltd,Energy,"19,205,900",0.001,,,
EEU,Betashares Euro ETF,,"10,600,100",0.001,,,
EFE,Eastern Iron Ltd,Materials,"1,235,700",0,,,
EFF,Evans & Partners Australian Flagship Fund,,"26,313,300",0.001,,,
EGD,Evans & Partners Global Disruption Fund,,"298,768,000",0.016,,,
EGF,Evans & Partners Global Flagship Fund,,"190,549,000",0.01,,,
EGG,Enero Group Ltd,Communication Services,"104,151,000",0.005,,,
EGH,Eureka Group Holdings Ltd,Real Estate,"69,011,300",0.004,,,
EGI,Ellerston Global Investments Ltd,,"103,194,000",0.005,,,
EGL,Environmental Group Ltd (the),Industrials,"5,220,760",0,,,
EGN,Engenco Ltd,Industrials,"125,352,000",0.007,,,
EGO,Empire Oil & Gas NL,Energy,0,0,,,
EGR,Ecograf Ltd,Materials,"18,989,700",0.001,,,
EGY,Energy Technologies Ltd,Industrials,"17,146,200",0.001,,,
EHE,Estia Health Ltd,Health Care,"393,214,000",0.02,,,
EHH,Eagle Health Holdings Ltd,Consumer Staples,"51,606,300",0.003,,,
EHL,Emeco Holdings Ltd,Industrials,"431,205,000",0.022,,,
EHX,Ehr Resources Ltd,Materials,"11,070,100",0.001,,,
EIGA,Einvest Income Generator Fund (Managed Fund),,"19,326,500",0.001,,,
EINC,Betashares Legg Mason Equity Income Fund (Managed Fund),,"21,548,000",0.001,,,
ELD,Elders Ltd,Consumer Staples,"1,349,690,000",0.07,,,
ELE,Elmore Ltd,Materials,"15,585,700",0.001,,,
ELO,Elmo Software Ltd,Information Technology,"531,867,000",0.028,,,
ELS,Elsight Ltd,Information Technology,"38,939,800",0.002,,,
ELT,Elementos Ltd,Materials,"5,088,660",0,,,
ELX,ELLEX Medical Lasers Ltd,Health Care,"90,468,700",0.005,,,
EM1,Emerge Gaming Ltd,Communication Services,"4,599,670",0,,,
EM2,Eagle Mountain Mining Ltd,Materials,"17,385,200",0.001,,,
EMB,Embelton Ltd,Industrials,"25,894,300",0.001,,,
EMD,Emerald Clinics Ltd,Health Care,"5,698,760",0,,,
EME,Energy Metals Ltd,Energy,"27,258,800",0.001,,,
EMH,European Metals Holdings Ltd,Materials,"26,872,100",0.001,,,
EMKT,Vaneck Vectors MSCI Multifactor Emerging Markets Equity ETF,,"27,829,400",0.001,,,
EML,EML Payments Ltd,Information Technology,"997,077,000",0.052,,,
EMMG,Betashares Legg Mason Emerging Markets Fund (Managed Fund),,"10,451,000",0.001,,,
EMN,Euro Manganese Inc,Materials,"5,919,240",0,,,
EMP,Emperor Energy Ltd,Energy,"1,468,500",0,,,
EMR,Emerald Resources NL,Materials,"249,383,000",0.013,,,
EMT,Emetals Ltd,,"4,002,000",0,,,
EMU,EMU NL,Materials,"5,662,100",0,,,
EMUCA,EMU NL,,"1,585,100",0,,,
EMV,Emvision Medical Devices Ltd,Health Care,"39,839,900",0.002,,,
EN1,Engage:BDR Ltd,Communication Services,"11,572,600",0.001,,,
ENA,Ensurance Ltd,Financials,"9,135,300",0,,,
ENB,Eneabba Gas Ltd,Utilities,"2,892,250",0,,,
ENE,Enevis Ltd,Industrials,"3,197,330",0,,,
ENN,Elanor Investors Group,Consumer Discretionary,"106,913,000",0.006,,,
ENR,Encounter Resources Ltd,Materials,"32,294,900",0.002,,,
ENT,Enterprise Metals Ltd,Materials,"4,466,190",0,,,
ENX,Enegex Ltd,Energy,"563,498",0,,,
EOF,Ecofibre Ltd,Health Care,"350,705,000",0.018,,,
EOL,Energy One Ltd,Information Technology,"57,294,900",0.003,,,
EOR,EOR Group Ltd,Energy,0,0,,,
EOS,Electro Optic Systems Holdings Ltd,Industrials,"664,335,000",0.035,,,
EPD,Empired Ltd,Information Technology,"55,973,400",0.003,,,
EPM,Eclipse Metals Ltd,Energy,"7,908,880",0,,,
EQE,EQUUS Mining Ltd,Materials,"11,270,000",0.001,,,
EQT,EQT Holdings Ltd,Financials,"446,679,000",0.023,,,
EQX,Equatorial Resources Ltd,Materials,"29,866,900",0.002,,,
ERA,Energy Resources of Australia Ltd,Energy,"664,449,000",0.035,,,
ERF,Elanor Retail Property Fund,Real Estate,"93,972,700",0.005,,,
ERG,Eneco Refresh Ltd,Consumer Staples,"16,886,200",0.001,,,
ERL,Empire Resources Ltd,Materials,"7,198,050",0,,,
ERM,Emmerson Resources Ltd,Materials,"38,236,800",0.002,,,
ERX,Exore Resources Ltd,Materials,"29,467,800",0.002,,,
ESE,Esense-Lab Ltd,Health Care,"1,517,420",0,,,
ESGI,Vaneck Vectors MSCI International Sustainable Equity ETF,,"30,848,700",0.002,,,
ESH,Esports Mogul Ltd,Communication Services,"14,252,400",0.001,,,
ESK,Etherstack Plc,Information Technology,"17,591,200",0.001,,,
ESL,Eco Systems Ltd,Real Estate,"4,725,600",0,,,
ESR,Estrella Resources Ltd,Materials,"4,277,180",0,,,
ESTX,ETFs Euro STOXX 50 ETF,,"51,026,900",0.003,,,
ETF,Ubs IQ Morningstar Australia Quality ETF,,"6,654,190",0,,,
ETHI,Betashares Global Sustainability Leaders ETF,,"606,851,000",0.032,,,
ETPMAG,ETFs Group,,"88,788,200",0.005,,,
ETPMPD,ETFs Group,,"5,138,800",0,,,
ETPMPM,ETFs Group,,"12,280,700",0.001,,,
ETPMPT,ETFs Group,,"5,351,630",0,,,
EUC,European Cobalt Ltd,Materials,"12,948,900",0.001,,,
EUR,European Lithium Ltd,Materials,"29,205,000",0.002,,,
EVE,EVE Investments Ltd,Financials,"18,631,100",0.001,,,
EVN,Evolution Mining Ltd,Materials,"8,709,560,000",0.453,,,
EVO,Evolve Education Group Ltd,Consumer Discretionary,"86,132,500",0.004,,,
EVS,Envirosuite Ltd,Information Technology,"122,716,000",0.006,,,
EVT,Event Hospitality and Entertainment Ltd,Communication Services,"1,241,210,000",0.065,,,
EVZ,EVZ Ltd,Industrials,"7,689,340",0,,,
EWC,Energy World Corporation Ltd,Utilities,"125,694,000",0.007,,,
EX1,Exopharm Ltd,Health Care,"11,962,100",0.001,,,
EX20,Betashares Australian Ex-20 Portfolio Diversifier ETF,,"139,204,000",0.007,,,
EXL,Elixinol Global Ltd,Consumer Staples,"53,089,200",0.003,,,
EXO,ENNOX Group Ltd,Financials,"3,537,020",0,,,
EXP,Experience Co Ltd,Consumer Discretionary,"52,802,100",0.003,,,
EXR,Elixir Energy Ltd,Energy,"13,022,600",0.001,,,
EZL,EUROZ Ltd,Financials,"136,515,000",0.007,,,
F100,Betashares Ftse 100 ETF,,"132,618,000",0.007,,,
FAIR,Betashares Australian Sustainability Leaders ETF,,"465,708,000",0.024,,,
FAM,Family Insights Group Ltd,Information Technology,"1,386,000",0,,,
FANG,ETFs Fang+ ETF,,"5,660,000",0,,,
FAR,FAR Ltd,Energy,"169,640,000",0.009,,,
FAU,First Au Ltd,Materials,"2,400,750",0,,,
FBR,FBR Ltd,Industrials,"52,141,100",0.003,,,
FBU,Fletcher Building Ltd,Materials,"2,868,410,000",0.149,,,
FCG,Frontier Capital Group Ltd,Consumer Discretionary,"19,103,200",0.001,,,
FCL,Fineos Corporation Holdings Plc,Information Technology,"849,607,000",0.044,,,
FCT,Firstwave Cloud Technology Ltd,Information Technology,"24,334,800",0.001,,,
FDM,Freedom Oil and Gas Ltd,Energy,"11,847,200",0.001,,,
FDV,Frontier Digital Ventures Ltd,Communication Services,"256,832,000",0.013,,,
FDX,Frontier Diamonds Ltd,Materials,"2,662,660",0,,,
FE8,Faster Enterprises Ltd,Real Estate,"665,312",0,,,
FEI,Fe Investments Group Ltd,Financials,"13,573,000",0.001,,,
FEL,Fe Ltd,Materials,"5,375,720",0,,,
FEMX,Fidelity Global Emerging Markets Fund (Managed Fund),,"77,505,500",0.004,,,
FEX,FENIX Resources Ltd,Materials,"14,409,800",0.001,,,
FFC,Farmaforce Ltd,Health Care,"10,301,700",0.001,,,
FFG,Fatfish Blockchain Ltd,Financials,"5,694,960",0,,,
FFI,FFI Holdings Ltd,Consumer Staples,"48,421,700",0.003,,,
FFL,Founders First Ltd,Consumer Staples,"26,710,100",0.001,,,
FFR,Firefly Resources Ltd,Materials,"2,158,510",0,,,
FGG,Future Generation Global Investment Company Ltd,,"441,512,000",0.023,,,
FGO,Flamingo Ai Ltd,Information Technology,"1,120,130",0,,,
FGR,First Graphene Ltd,Materials,"64,134,500",0.003,,,
FGX,Future Generation Investment Company Ltd,,"361,476,000",0.019,,,
FHS,Freehill Mining Ltd,Materials,"40,622,700",0.002,,,
FID,Fiducian Group Ltd,Financials,"144,950,000",0.008,,,
FIG,Freedom Insurance Group Ltd,Financials,"4,794,470",0,,,
FIJ,Fiji Kava Ltd,Consumer Staples,"4,208,100",0,,,
FIN,FIN Resources Ltd,Materials,"2,625,220",0,,,
FLC,Fluence Corporation Ltd,Industrials,"174,959,000",0.009,,,
FLN,Freelancer Ltd,Industrials,"180,510,000",0.009,,,
FLOT,Vaneck Vectors Australian Floating Rate ETF,,"304,092,000",0.016,,,
FLT,Flight Centre Travel Group Ltd,Consumer Discretionary,"1,974,480,000",0.103,,,
FMG,Fortescue Metals Group Ltd,Materials,"36,824,400,000",1.914,,,
FML,Focus Minerals Ltd,Materials,"44,773,400",0.002,,,
FMS,Flinders Mines Ltd,Materials,"95,826,600",0.005,,,
FNP,Freedom Foods Group Ltd,Consumer Staples,"1,195,990,000",0.062,,,
FNT,Frontier Resources Ltd,Materials,"3,912,820",0,,,
FOD,The Food Revolution Group Ltd,Consumer Staples,"44,929,800",0.002,,,
FOOD,Betashares Global Agriculture ETF - Currency Hedged,,"16,565,700",0.001,,,
