ASX Listed Companies (1 May 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
AFI,Australian Foundation Investment Company Ltd,,"7,020,110,000",0.365,,,
AGM,Australian Governance & Ethical INDEX Fund,,"27,851,100",0.001,,,
ABA,Auswide Bank Ltd,Financials,"185,015,000",0.01,,,
AEV,Avenira Ltd,Materials,"3,966,790",0,,,
A200,Betashares Australia 200 ETF,,"670,967,000",0.035,,,
AGVT,Betashares Australian Government Bond ETF,,"16,481,300",0.001,,,
AAA,Betashares Australian High Interest Cash ETF,,"1,683,220,000",0.087,,,
ACDC,ETFs Battery Tech & Lithium ETF,,"18,018,800",0.001,,,
4CE,Force Commodities Ltd,Materials,"6,691,860",0,,,
360,LIFE360 Inc,Information Technology,"294,768,000",0.015,,,
1AL,Oneall International Ltd,Consumer Discretionary,"110,514,000",0.006,,,
3DP,Pointerra Ltd,Information Technology,"21,135,300",0.001,,,
A2M,The a2 Milk Company Ltd,Consumer Staples,"13,479,700,000",0.701,,,
2BE,Tubi Ltd,Energy,"24,314,200",0.001,,,
AIB,Aurora Global Income Trust,,"592,177",0,,,
AIQ,Alternative Investment Trust,,"30,446,800",0.002,,,
AIR,Astivita Ltd,Industrials,"16,356,600",0.001,,,
AIS,Aeris Resources Ltd,Materials,"25,350,700",0.001,,,
AIV,Activex Ltd,Materials,"23,039,700",0.001,,,
AIY,Authorised Investment Fund Ltd,,"12,660,500",0.001,,,
AIZ,Air New Zealand Ltd,Industrials,"1,420,400,000",0.074,,,
AJC,Acacia Coal Ltd,Energy,"4,067,650",0,,,
AJJ,Asian American Medical Group Ltd,Health Care,"11,823,600",0.001,,,
AJL,AJ Lucas Group Ltd,Industrials,"65,795,800",0.003,,,
AJM,Altura Mining Ltd,Materials,"130,102,000",0.007,,,
AJQ,Armour Energy Ltd,Energy,"21,852,300",0.001,,,
AJX,Alexium International Group Ltd,Materials,"36,798,500",0.002,,,
AJY,Asaplus Resources Ltd,Materials,"16,320,000",0.001,,,
AKG,Academies Australasia Group Ltd,Consumer Discretionary,"40,198,600",0.002,,,
AKM,Aspire Mining Ltd,Materials,"41,118,600",0.002,,,
AKN,Auking Mining Ltd,Materials,"1,865,170",0,,,
AKP,Audio Pixels Holdings Ltd,Consumer Discretionary,"396,224,000",0.021,,,
AL3,AML3D Ltd,Industrials,"14,907,100",0.001,,,
AL8,Alderan Resources Ltd,Materials,"3,937,700",0,,,
ALC,Alcidion Group Ltd,Health Care,"158,511,000",0.008,,,
ALF,Australian Leaders Fund Ltd,,"170,553,000",0.009,,,
ALG,Ardent Leisure Group Ltd,Consumer Discretionary,"175,093,000",0.009,,,
ALI,Argo Global Listed Infrastructure Ltd,,"303,777,000",0.016,,,
ALK,Alkane Resources Ltd,Materials,"435,025,000",0.023,,,
ALL,Aristocrat Leisure Ltd,Consumer Discretionary,"16,276,500,000",0.846,,,
ALQ,Als Ltd,Industrials,"3,285,320,000",0.171,,,
ALT,Analytica Ltd,Health Care,"10,558,800",0.001,,,
ALU,Altium Ltd,Information Technology,"4,472,480,000",0.232,,,
ALX,Atlas Arteria,Industrials,"5,494,870,000",0.286,,,
ALY,Alchemy Resources Ltd,Materials,"6,606,290",0,,,
AMA,AMA Group Ltd,Industrials,"310,892,000",0.016,,,
AMB,Ambition Group Ltd,Industrials,"3,367,410",0,,,
AMC,Amcor Plc,Materials,"13,811,000,000",0.718,,,
AMD,Arrow Minerals Ltd,Materials,"4,790,260",0,,,
AME,Alto Metals Ltd,Materials,"18,482,500",0.001,,,
AMG,Ausmex Mining Group Ltd,Materials,"24,543,500",0.001,,,
AMH,Amcil Ltd,,"232,568,000",0.012,,,
AMI,Aurelia Metals Ltd,Materials,"288,415,000",0.015,,,
AML,Aeon Metals Ltd,Materials,"67,757,000",0.004,,,
AMN,Agrimin Ltd,Materials,"64,383,200",0.003,,,
AMO,Ambertech Ltd,Information Technology,"3,058,200",0,,,
AMP,AMP Ltd,Financials,"4,914,340,000",0.255,,,
AMS,Atomos Ltd,Consumer Discretionary,"102,687,000",0.005,,,
AMT,Allegra Orthopaedics Ltd,Health Care,"11,947,100",0.001,,,
AMX,Aerometrex Ltd,Industrials,"160,952,000",0.008,,,
ANA,Ansila Energy NL,Energy,"3,052,630",0,,,
ANG,Austin Engineering Ltd,Industrials,"81,060,800",0.004,,,
ANL,Amani Gold Ltd,Materials,"13,669,000",0.001,,,
ANN,Ansell Ltd,Health Care,"3,678,590,000",0.191,,,
ANO,Advance Nanotek Ltd,Materials,"265,828,000",0.014,,,
ANP,Antisense Therapeutics Ltd,Health Care,"23,461,700",0.001,,,
ANR,Anatara Lifesciences Ltd,Health Care,"9,223,390",0,,,
ANS,Austsino Resources Group Ltd,Materials,"94,314,800",0.005,,,
ANW,Aus Tin Mining Ltd,Materials,"2,829,770",0,,,
ANZ,Australia and New Zealand Banking Group Ltd,Financials,"47,931,400,000",2.491,,,
AO1,Assetowl Ltd,Information Technology,"3,614,650",0,,,
