ASX Listed Companies (1 October 2019),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
4CE,Force Com Limited,Materials,"9,137,790",0,,,
360,LIFE360 Inc Cdi 3:1 US Person Prohibited Excluding QIB,Information Technology,"522,791,000",23,,,
1AL,Oneall International Limited,Consumer Discretionary,"109,213,000",5,,,
3DP,Pointerra Limited,Information Technology,"24,497,500",1,,,
A2M,The a2 Milk Company,Consumer Staples,"8,939,670,000",392,,,
2BE,Tubi Limited,Energy,"71,727,000",3,,,
AHZ,Admedus Limited,Health Care,"35,444,600",2,,,
AIA,Auckland Internation Foreign Exempt NZX,Industrials,"10,296,200,000",452,,,
AIB,Aurora GLB Trust Ordinary Units FP,,990.069,0,,,
AIQ,Alternative Invest Ordinary Units FP,,"23,598,900",1,,,
AIR,Astivita Limited,Industrials,"12,933,200",1,,,
AIS,Aeris Resources Limited,Materials,"25,064,100",1,,,
AIV,Activex Limited,Materials,"31,901,100",1,,,
AIY,Authorised Invest,,"10,972,500",0,,,
AIZ,Air New Zealand Foreign Exempt NZX,Industrials,"2,896,940,000",127,,,
AJC,Acacia Coal Limited,Energy,"4,067,650",0,,,
AJJ,Asian Amer Medical,Health Care,"24,690,400",1,,,
AJL,AJ Lucas Group,Industrials,"78,760,200",3,,,
AJM,Altura Mining Limited,Materials,"167,433,000",7,,,
AJQ,Armour Energy Limited,Energy,"28,528,500",1,,,
AJX,Alexium Int Group,Materials,"45,173,100",2,,,
AJY,Asaplus Resources,Materials,"16,320,000",1,,,
AKG,Academies Aus Group,Consumer Discretionary,"86,777,800",4,,,
AKM,Aspire Mining Limited,Materials,"43,245,000",2,,,
AKN,Auking Mining Limited,Materials,"1,865,170",0,,,
AKP,Audio Pixels Limited,Consumer Discretionary,"520,469,000",23,,,
AL8,Alderan Resource Limited,Materials,"8,470,100",0,,,
ALC,Alcidion Group Limited,Health Care,"228,388,000",0.01,,,
ALF,Australian Leaders,,"233,461,000",0.01,,,
ALG,Ardentleisuregrpltd,Consumer Discretionary,"465,315,000",0.02,,,
ALI,Argo Global Limited,,"330,748,000",15,,,
ALK,Alkane Resources Limited,Materials,"369,450,000",16,,,
ALL,Aristocrat Leisure,Consumer Discretionary,"19,539,500,000",858,,,
ALQ,Als Limited,Industrials,"3,869,050,000",0.17,,,
ALT,Analytica Limited,Health Care,"14,078,400",1,,,
ALU,Altium Limited,Information Technology,"4,367,710,000",192,,,
ALX,Atlas Arteria Stap US Prohibited Excluding QUP,Industrials,"5,330,300,000",234,,,
ALY,Alchemy Resource Limited,Materials,"6,606,290",0,,,
AMA,AMA Group Limited,Industrials,"658,778,000",29,,,
AMB,Ambition Group Limited,Industrials,"6,734,820",0,,,
AMC,Amcor Plc Cdi 1:1 Foreign Exempt NYSE,Materials,"15,184,100,000",667,,,
AMD,Arrow Minerals,Materials,"7,597,250",0,,,
AME,Alto Metals Limited,Materials,"8,543,280",0,,,
AMG,Ausmex Mining GP Limited,Materials,"50,481,800",2,,,
AMH,Amcil Limited,,"245,101,000",11,,,
AMI,Aurelia Metals Limited,Materials,"397,407,000",17,,,
AML,Aeon Metals Limited,Materials,"104,481,000",5,,,
AMN,Agrimin Limited,Materials,"104,710,000",5,,,
AMO,Ambertech Limited,Information Technology,"3,057,320",0,,,
AMP,AMP Limited,Financials,"6,271,790,000",275,,,
AMS,Atomos,Consumer Discretionary,"259,916,000",11,,,
AMT,Allegra Orthopaedics,Health Care,"11,449,300",1,,,
ANG,Austin Engineering,Industrials,"109,978,000",5,,,
ANL,Amani Gold Limited,Materials,"15,639,700",1,,,
ANN,Ansell Limited,Health Care,"3,626,410,000",159,,,
ANO,Advance Nanotek Limited,Materials,"334,078,000",15,,,
ANP,Antisense Therapeut,Health Care,"32,768,100",1,,,
ANQ,Anaeco Limited,Industrials,"7,976,900",0,,,
ANR,Anatara LS Limited,Health Care,"11,365,000",0,,,
ANS,Austsino Res Group Limited,Materials,"89,256,100",4,,,
ANW,Aus Tin Mining,Materials,"6,772,060",0,,,
ANZ,ANZ Banking Group Limited,Financials,"80,842,400,000",3549,,,
AO1,Assetowl Limited,Information Technology,"2,710,990",0,,,
AOA,Ausmon Resorces,Materials,"1,585,620",0,,,
AOF,Australian Unity Off Ordinary Units FP,Real Estate,"491,752,000",22,,,
AOG,Aveo Group,Real Estate,"1,236,970,000",54,,,
AON,Apollo Minerals Limited,Materials,"5,044,080",0,,,
AOP,Apollo Consolidated,Materials,"55,369,100",2,,,
AOU,Auroch Minerals Limited,Materials,"11,565,000",1,,,
AOW,American Patriot Oil,Energy,"14,736,900",1,,,
APA,APA Group FP Units Stapled Securities,Utilities,"13,521,600,000",594,,,
APC,Aust Potash Limited,Materials,"37,545,200",2,,,
APD,Apn Property Group,Financials,"168,563,000",7,,,
APE,AP Eagers Limited,Consumer Discretionary,"3,558,760,000",156,,,
APG,Austpac Resources NL,Materials,"5,668,000",0,,,
API,Australian Pharm,Health Care,"664,920,000",29,,,
APL,Antipodes Global INV,,"526,733,000",23,,,
APT,Afterpay Touch,Information Technology,"9,063,540,000",398,,,
APV,Appsvill,Information Technology,"7,048,060",0,,,
APW,Aims Pror Sec Fund Ordinary Units FP,Real Estate,"65,343,500",3,,,
APX,Appen Limited,Information Technology,"2,560,020,000",112,,,
APZ,Aspen Group,Real Estate,"115,292,000",5,,,
AQC,Auspaccoal Limited,Materials,"6,563,020",0,,,
AQD,Ausquest Limited,Materials,"8,788,880",0,,,
AQG,Alacer Gold Corp,Materials,"504,862,000",22,,,
AQI,Alicanto Min Limited,Materials,"14,251,600",1,,,
AQR,Apn CONV Retail REIT FP Units Stapled Securities,Real Estate,"264,349,000",12,,,
