Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:IYLD,"iShares Yield Plus ETF (ASX:IYLD)",https://www.listcorp.com/asx/iyld/ishares-yield-plus-etf,"	73885100",100.32,0.11,0.11,Unclassified
ASX:AFA,"ASF Group Limited (ASX:AFA)",https://www.listcorp.com/asx/afa/asf-group-limited,"	73693000",0.079,-0.01,-15.05,Financials
ASX:CYC,"Cyclopharm Limited (ASX:CYC)",https://www.listcorp.com/asx/cyc/cyclopharm-limited,"	73350300",0.63,-0.03,-4.55,"Health Care"
ASX:GSS,"Genetic Signatures Limited (ASX:GSS)",https://www.listcorp.com/asx/gss/genetic-signatures-limited,"	72684400",0.3075,-0.01,-3.91,"Health Care"
ASX:TER,"TerraCom Limited (ASX:TER)",https://www.listcorp.com/asx/ter/terracom-limited,"	72087000",0.088,-0.00,-2.22,Energy
ASX:HIT,"Hitech Group Australia Limited (ASX:HIT)",https://www.listcorp.com/asx/hit/hitech-group-australia-limited,"	71698500",1.695,0.00,0,Industrials
ASX:M7T,"Mach7 Technologies Limited (ASX:M7T)",https://www.listcorp.com/asx/m7t/mach7-technologies-limited,"	71665300",0.31,0.01,1.64,"Health Care"
ASX:BSX,"Blackstone Minerals Limited (ASX:BSX)",https://www.listcorp.com/asx/bsx/blackstone-minerals-limited,"	70967600",0.042,0.00,0,Materials
ASX:ZYUS,"Global X S&P 500 High Yield Low Volatility ETF (ASX:ZYUS)",https://www.listcorp.com/asx/zyus/global-x-s-and-p-500-high-yield-low-volatility-etf,"	70890600",14.44,0.10,0.7,Unclassified
ASX:QFN,"BetaShares Australian Financials Sector ETF (ASX:QFN)",https://www.listcorp.com/asx/qfn/betashares-australian-financials-sector-etf,"	70196600",18.57,0.14,0.76,Unclassified
ASX:CAE,"Cannindah Resources Limited (ASX:CAE)",https://www.listcorp.com/asx/cae/cannindah-resources-limited,"	70138700",0.056,-0.01,-17.65,Materials
ASX:MSV,"Mitchell Services Limited (ASX:MSV)",https://www.listcorp.com/asx/msv/mitchell-services-limited,"	69947600",0.31,-0.02,-6.06,Materials
ASX:AII,"Almonty Industries Inc (ASX:AII)",https://www.listcorp.com/asx/aii/almonty-industries-inc,"	69480500",9.34,-0.40,-4.11,Materials
ASX:IR1,"Iris Metals Limited (ASX:IR1)",https://www.listcorp.com/asx/ir1/iris-metals-limited,"	69390600",0.275,-0.02,-8.33,Materials
ASX:ATX,"Amplia Therapeutics Limited (ASX:ATX)",https://www.listcorp.com/asx/atx/amplia-therapeutics-limited,"	69264700",0.12,-0.01,-11.11,"Health Care"
ASX:SSL,"Sietel Limited (ASX:SSL)",https://www.listcorp.com/asx/ssl/sietel-limited,"	68784200",8.59,0.00,0,"Real Estate"
ASX:NH3,"NH3 Clean Energy Limited (ASX:NH3)",https://www.listcorp.com/asx/nh3/nh3-clean-energy-limited,"	68619600",0.098,-0.00,-2,Materials
ASX:PVE,"Po Valley Energy Limited (ASX:PVE)",https://www.listcorp.com/asx/pve/po-valley-energy,"	68378700",0.055,-0.00,-6.78,Energy
ASX:BB1,"BlinkLab Limited (ASX:BB1)",https://www.listcorp.com/asx/bb1/blinklab-limited,"	68297700",0.73,-0.05,-6.41,"Health Care"
